Complex1427;SmallMolecule4	Complex1414;SmallMolecule2
Protein3233	Protein135;Protein3231
Complex1547	Complex1414;Complex1546;Protein3089
Complex1427;Complex1546;Protein3089;SmallMolecule4	Complex1547;SmallMolecule2
Complex1548	Complex1345;Protein413
Complex1549	Complex1345;Protein3236;Protein3237
Complex1550;SmallMolecule4	Complex1549;SmallMolecule2
Complex1551;Protein3237;Protein3238;SmallMolecule4	Complex1550;SmallMolecule2
Complex1557	Complex1552;Complex944
Complex1558;SmallMolecule4	Complex1414;SmallMolecule2
Complex1559;SmallMolecule4	Complex1345;SmallMolecule2
Complex1559;SmallMolecule4	Complex1345;SmallMolecule2
Complex1561	Complex1414;Protein3247
Complex1562	Complex1561;Protein3248
Complex1563;SmallMolecule4	Complex1562;SmallMolecule2
Complex1565;SmallMolecule4	Complex1345;SmallMolecule2
Complex1414;SmallMolecule4	Complex1527;SmallMolecule2
Complex1567;SmallMolecule4	Complex1345;SmallMolecule2
Complex1568;SmallMolecule4	Complex1345;SmallMolecule2
Complex227	Complex226
Complex1527;SmallMolecule4	Complex1345;SmallMolecule2
Complex1527;SmallMolecule4	Complex1345;SmallMolecule2
Complex1571	Complex1414;Dna88
Protein3111	Dna88
Complex1455	Complex1414;Protein3111
Complex1572	Complex1414;Protein3270
Complex1573	Complex1414;Protein3271
Complex1574	Complex1417;Protein3272
Complex1416	Complex1417;Protein3068
Complex1575	Complex1345;Protein3273
Complex228;SmallMolecule19	Complex227;SmallMolecule13
Complex1577	Complex1576;Protein3274
Protein3276;SmallMolecule4	Protein3274;SmallMolecule2
Protein3281	Protein3276
Protein3283;SmallMolecule4	Protein3282;SmallMolecule2
Protein3284;SmallMolecule4	Protein3283;SmallMolecule2
Complex1578	Protein3284;Protein3285;Protein990
Complex1579	Complex1414;Complex1578
Protein3286	Protein135;Protein3285
Complex1580	Complex1579;Protein3287
Complex1581;SmallMolecule513	Complex1580;SmallMolecule512
Complex41;Protein54	Complex40;Protein8
Complex230	Complex203;Complex228
Complex1583;SmallMolecule513	Complex1414;SmallMolecule512
Complex1584;SmallMolecule513	Complex1414;SmallMolecule512
Complex1585;SmallMolecule513	Complex1414;SmallMolecule512
Complex1586	Complex1585;Protein3295
Complex1587;SmallMolecule513	Complex1345;SmallMolecule512
Complex1589	Complex1414;Protein3299;Protein990
Complex1590;SmallMolecule515	Complex1589;SmallMolecule514
Complex1593	Complex1414;Complex1592;Protein3308
Complex1594;SmallMolecule515	Complex1593;SmallMolecule514
Complex1596;SmallMolecule4	Complex1592;SmallMolecule2
Complex206;SmallMolecule39	Complex205;SmallMolecule40
Complex1598;SmallMolecule516	Complex1597;SmallMolecule495
Protein3323	Protein3322
Complex1604	Protein3325
Complex1605	Complex1604;Protein3330;Protein990;Protein991
Complex1607	Complex1606;Protein3334
Complex231	Complex228;Protein496
Complex1619	Complex1618;Dna93
Protein3340	Dna93
Complex1620	Complex1609;Dna94
Protein3341	Dna94
Complex1621	Complex1609;Dna95
Protein3342	Dna95
Complex232;SmallMolecule19	Complex231;SmallMolecule13
Complex1624	Complex1609;Dna56
Complex1625	Complex1610;Protein3344;Protein998
Complex1626	Complex1625;Dna56
Protein132	Dna56
Complex1627	Complex1609;Protein1937
Complex1628	Complex1627;Dna97
Protein3345	Dna97
Complex1629	Complex1627;Dna98
Complex233	Complex203;Complex232
Protein3346	Dna98
Complex1630	Complex1627;Dna99
Protein3347	Dna99
Complex1631	Complex1609;Protein3348
Complex1632	Complex1631;Dna100
Protein3349	Dna100
Complex1603	Protein3322;Protein3324
Complex1633	Complex1604;Protein3350
Complex1634	Complex1604;Protein3351
Complex1637;Protein3355	Complex1635;Complex1636
Complex206;SmallMolecule39	Complex205;SmallMolecule40
Complex1639;Protein3355	Complex1606;Complex1635
Complex1641;Protein3355	Complex1610;Complex1635
Complex1643	PhysicalEntity168;Protein3362
Complex1648	Complex1643;SmallMolecule2
Complex1650	Protein1762;Protein3402;Protein3403;Protein3404;Protein3405
Complex1651;SmallMolecule515	Complex1650;SmallMolecule514
Complex1652	Complex1648;Complex1651
Complex1657	Protein3411;Protein3412;Protein3413;Protein3414;Protein3415;Protein3416;Protein3417;Protein3418;Protein648;Protein649;Protein650;Protein653;Protein654
Complex1658	Complex1657;Protein3419
Complex1659	Complex1652;Complex1658;Complex904
Complex234	Complex210;Complex228
Complex1660;Protein3419	Complex1659
PhysicalEntity170	PhysicalEntity170;SmallMolecule5
Complex1655	Dna101;Protein1394
Complex1663	Complex1655;Complex1660;Rna85
Complex1664	Complex1663;Protein3421
Complex1660;Protein1394;Protein3421;Rna85	Complex1664
Complex1665;PhysicalEntity174	Complex1665;PhysicalEntity173
Complex1672;PhysicalEntity174	Complex1672;PhysicalEntity173
Complex1673;PhysicalEntity174	Complex1673;PhysicalEntity173
Complex1676;PhysicalEntity179	Complex1676;PhysicalEntity178;SmallMolecule5
Complex235	Complex234;Protein500
Complex1665	Complex1677
Complex1672	Complex1680
Complex1673	Complex1683
Complex1676;PhysicalEntity183;SmallMolecule518	Complex1676;PhysicalEntity179
Complex1665;PhysicalEntity173	Complex1665;SmallMolecule5
Complex1672;PhysicalEntity173	Complex1672;SmallMolecule5
Complex1673;PhysicalEntity173	Complex1673;SmallMolecule5
Complex1666;PhysicalEntity184;PhysicalEntity185	Complex1686;PhysicalEntity183
Complex1686;PhysicalEntity183	Complex1676;PhysicalEntity178
Complex1687	PhysicalEntity180;Protein3436
SmallMolecule19;SmallMolecule42	SmallMolecule13;SmallMolecule41
Complex1679	Complex1671;Complex1687
Complex1678	Complex1670;Complex1679
Complex1677	Complex1666;Complex1678
Complex1682	Complex1671;PhysicalEntity181
Complex1681	Complex1670;Complex1682
Complex1680	Complex1666;Complex1681
Complex1685	Complex1675;PhysicalEntity182;Protein3444;Protein3445
Complex1684	Complex1674;Complex1685
Complex1683	Complex1666;Complex1684
Complex1676;PhysicalEntity178	Complex1676;PhysicalEntity173;SmallMolecule5
Complex236	Complex228;Protein501
