#Tail	Head	PosReg	NegReg	ID
pid_103436	pid_103439	pid_103256;pid_90940	None	pid_103435
None	pid_112375	pid_4936	None	pid_0112427
pid_27974;pid_3114	pid_28446;pid_3119	pid_119276	None	pid_119270
pid_21562;pid_48888	pid_26325	None	None	pid_49054
None	pid_14019	pid_36764	None	pid_036849
None	pid_10424	pid_50992	None	pid_0125878
pid_21533;pid_21537	pid_21796	None	None	pid_21795
None	pid_20456	pid_20049	None	pid_020458
None	pid_13887	pid_8633	None	pid_036846
pid_20081	pid_20085	pid_20450	None	pid_20446
pid_149445	pid_149120;pid_149376	pid_24180;pid_149573	None	pid_149568
None	pid_16028	pid_146133	None	pid_146396
None	pid_21808	pid_52347	None	pid_146391
pid_41533	pid_41444	pid_41322	None	pid_41532
None	pid_9270	pid_152155	None	pid_0152186
pid_36553	pid_36563	None	None	pid_36552
pid_142486	pid_142489	pid_142004	None	pid_142485
pid_9316	pid_9317	pid_11799	None	pid_41539
pid_3114;pid_47482	pid_12013;pid_3119	pid_114556	None	pid_114550
None	pid_55616	pid_61398;pid_61368;pid_21812	None	pid_61445
None	pid_33013	pid_18300	pid_122076	pid_122429
pid_126934;pid_60149	pid_127023	None	None	pid_127148
None	pid_24739	pid_24662	None	pid_024741
pid_57763;pid_57887	pid_57894	None	None	pid_57886
None	pid_90185	pid_79966	None	pid_090397
pid_20792	pid_9586	pid_70615	None	pid_70611
pid_40139	pid_40249	pid_40489	None	pid_40485
None	pid_57801	pid_62309	None	pid_062308
None	pid_82859	pid_48161	None	pid_82858
pid_40954;pid_6610	pid_40962	None	None	pid_40953
None	pid_28943	pid_128160	None	pid_0128426
pid_65964	pid_77562	pid_77705	None	pid_77708
pid_25011;pid_3114	pid_24893;pid_3119	pid_156522	None	pid_160137
pid_73706	pid_77640	pid_77705	None	pid_77701
pid_125811;pid_50583	pid_125806	pid_125779	None	pid_125810
pid_7824;pid_94458	pid_94471	None	None	pid_94483
pid_125820	pid_18248	pid_49519	None	pid_125819
pid_26965;pid_3114	pid_26746;pid_3119	pid_26974	None	pid_26964
pid_93946;pid_94490;pid_94496	pid_94458;pid_94491	None	None	pid_94489
pid_164600;pid_164835	pid_164843	None	None	pid_164834
pid_143064	pid_34617	pid_26435;pid_24816;pid_89500	None	pid_143539
pid_18574	pid_143531	pid_35676	None	pid_143534
pid_25011;pid_3114	pid_26656;pid_3119	pid_156583	None	pid_156577
pid_34848;pid_34972	pid_35295	pid_34579	None	pid_35358
pid_141509	pid_141604	pid_141755	None	pid_141751
None	pid_130902	pid_130906;pid_87980	None	pid_130901
pid_3114;pid_31631	pid_3119;pid_31637	pid_31837;pid_31834;pid_8548;pid_8546	None	pid_31852
pid_167121	pid_160029	pid_35696;pid_14471	None	pid_167120
pid_36806	pid_36648	pid_36086	None	pid_36805
pid_12860	pid_93105	pid_18602	pid_93111;pid_66959	pid_93104
pid_16642	pid_141984	pid_142134;pid_72921	None	pid_142226
pid_103530	pid_175078	pid_175026	None	pid_175077
pid_102646	pid_131153	pid_131138	None	pid_131236
pid_50583;pid_7951	pid_50601	None	None	pid_50943
pid_143069;pid_143087;pid_34634	pid_143282	None	None	pid_143281
None	pid_9270	pid_114105	None	pid_0114104
None	pid_4656	pid_74228	None	pid_074349
pid_3114;pid_36256	pid_3119;pid_36212	None	pid_109791	pid_109785
pid_14275	pid_70181	pid_70132	None	pid_109780
pid_107929;pid_60126	pid_107930	None	None	pid_107928
None	pid_9083	pid_35739;pid_7523;pid_168304;pid_49627	pid_83330;pid_45341	pid_168690
None	pid_41416	pid_9317	None	pid_041418
None	pid_52469	pid_25217;pid_72906	None	pid_72960
pid_34889	pid_3283	pid_134439;pid_134333	None	pid_134486
pid_9522	pid_9525	pid_134439	None	pid_134481
None	pid_72969	pid_917;pid_72906	None	pid_72968
pid_94861;pid_95282	pid_95181	None	None	pid_95281
pid_77755	pid_77648	pid_97833	pid_97784	pid_97829
pid_48142	pid_48161	None	None	pid_48333
pid_13893;pid_18142	pid_18413	None	None	pid_18412
None	pid_52469	None	pid_163490	pid_163808
None	pid_12297	pid_14237	None	pid_0109457
None	pid_16880	None	pid_28511	pid_0109454
pid_48161;pid_48337	pid_48340	None	None	pid_48336
None	pid_172048	pid_14444	None	pid_0172050
None	pid_12297	pid_27722	None	pid_0109458
pid_15955	pid_16309	pid_13890	None	pid_16308
None	pid_168480	pid_168304	None	pid_168479
pid_65628;pid_65744	pid_65747	None	None	pid_65743
None	pid_168474	pid_168304	None	pid_168473
pid_30823	pid_71979	pid_96254	None	pid_96411
pid_12552	pid_64164	pid_64116;pid_34172	None	pid_64163
None	pid_141639	pid_163361	None	pid_164163
pid_9097	pid_9108	pid_89906	None	pid_90107
pid_3114;pid_3121	pid_3110;pid_3119	pid_3362	None	pid_3356
None	pid_94928	pid_28821;pid_94889	pid_94974	pid_95461
None	pid_73974	pid_163371	None	pid_164169
pid_129882;pid_9586	pid_130014	None	None	pid_130013
pid_173900;pid_174212	pid_174215	None	None	pid_174211
pid_7734;pid_7735	pid_69011	None	None	pid_69024
None	pid_84579	pid_84583;pid_85015	None	pid_85012
pid_22076;pid_53720;pid_53723	pid_29023;pid_45816;pid_53726	pid_128176	None	pid_128339
None	pid_121495	pid_38526	None	pid_0162180
pid_30930;pid_3114	pid_30781;pid_3119	pid_126737	None	pid_126731
None	pid_5172	pid_5176	None	pid_5171
pid_29189	pid_28946	pid_28965	None	pid_29188
pid_21926	pid_126737	pid_442	None	pid_126738
None	pid_48337	pid_147905	None	pid_148080
None	pid_83263	pid_48161	None	pid_83262
pid_29183;pid_29184	pid_29042	None	None	pid_29182
None	pid_30745	pid_147848	None	pid_148084
pid_148706;pid_22291	pid_148776	None	None	pid_148775
pid_79004	pid_8664	pid_78684	None	pid_79056
pid_159305	pid_114615	pid_12013;pid_113918	None	pid_159304
pid_78671	pid_5098	None	None	pid_79053
None	pid_10409	pid_68447	None	pid_068446
None	pid_262	pid_98393	None	pid_98733
pid_159652;pid_28084	pid_159657	None	None	pid_159651
pid_71702	pid_53629	pid_4986	None	pid_71701
pid_171576;pid_20792	pid_171594	None	None	pid_171593
None	pid_84793	pid_73697	None	pid_87940
None	pid_84579	pid_87960;pid_73697	None	pid_88058
None	pid_38653	pid_7404;pid_73697	None	pid_87945
pid_71252	pid_71710	pid_26834	None	pid_71709
pid_82170	pid_102372	pid_158448	None	pid_158657
pid_14061	pid_42051	pid_42100	None	pid_42222
pid_42114;pid_42228	pid_42238	None	None	pid_42227
pid_26203	pid_26230;pid_26234;pid_8546	pid_26240	None	pid_26202
pid_159;pid_164;pid_246	pid_249	None	None	pid_245
pid_40972	pid_40975	pid_40395	None	pid_41053
None	pid_82881	pid_48200	None	pid_83089
pid_40815;pid_41060	pid_41063	None	None	pid_41059
pid_20591;pid_49268	pid_20162	None	None	pid_49267
None	pid_73706	pid_917;pid_72906	None	pid_73705
None	pid_16269	pid_15968	None	pid_16579
None	pid_73745	pid_7376;pid_73749;pid_72906	None	pid_73744
pid_66875	pid_66902	None	None	pid_67019
pid_173188	pid_173105	pid_173094;pid_173099	None	pid_173187
pid_112172;pid_14990;pid_9236	pid_112178	None	None	pid_112401
pid_114836	pid_113731	pid_26656;pid_92936;pid_12411;pid_114848	None	pid_114835
pid_3114;pid_34981	pid_3119;pid_34984	pid_34992	None	pid_34980
None	pid_1543	pid_132351	None	pid_0132350
pid_302;pid_364;pid_633;pid_798	pid_364;pid_572;pid_798;pid_799	None	None	pid_797
None	pid_38653	pid_45249	None	pid_45247
pid_20211;pid_48888;pid_48966	pid_49199	None	None	pid_49198
pid_20211;pid_20591;pid_48872	pid_20188	None	None	pid_49190
None	pid_82132	None	pid_48142	pid_82131
None	pid_32921	pid_32925	None	pid_32920
pid_28443;pid_3114	pid_28446;pid_3119	pid_28589	None	pid_28583
None	pid_42862	pid_121456;pid_61498	pid_122076;pid_7754	pid_122631
None	pid_82138	pid_82145;pid_82141	None	pid_82137
None	pid_86181	pid_122248	pid_122076	pid_122638
pid_58138;pid_58142	pid_58147	None	None	pid_58137
pid_47772	pid_173453	pid_74918	None	pid_173452
pid_55845	pid_57881	pid_14047	None	pid_58131
None	pid_82852	pid_6628;pid_94889	pid_94907	pid_94903
pid_20144	pid_20152	None	None	pid_20143
None	pid_83408	pid_83496;pid_11675	pid_121434	pid_133683
pid_122845	pid_122890	pid_131833	None	pid_131829
pid_39309;pid_39937	pid_39423	None	None	pid_39936
None	pid_122956	pid_123153	None	pid_131823
None	pid_172579	pid_24893	None	pid_0172802
None	pid_118723	None	pid_71582	pid_0118725
pid_60244;pid_99377	pid_99380	None	None	pid_99376
None	pid_9822	pid_173402	None	pid_0173401
pid_9145	pid_104642	pid_104635;pid_104646	None	pid_104641
pid_3114;pid_3121	pid_3110;pid_3119	pid_34771	None	pid_35162
pid_27974;pid_3114	pid_28446;pid_3119	pid_119167	None	pid_119161
pid_118396	pid_118399	pid_118405	None	pid_118395
pid_48337;pid_64566	pid_141564	None	None	pid_141563
pid_153108;pid_153243	pid_153246	None	None	pid_153242
pid_53453;pid_53593	pid_53592	None	None	pid_53714
pid_114126	pid_114134	pid_113903	None	pid_114761
pid_113698;pid_113701;pid_26752	pid_113697	None	None	pid_114767
pid_14437;pid_3114	pid_14444;pid_3119	pid_14453	pid_14463	pid_14436
pid_22076;pid_53720;pid_53723	pid_29023;pid_45816;pid_53726	pid_53736	None	pid_53719
pid_22786	pid_22789	pid_22644;pid_22264	None	pid_22785
None	pid_89413	pid_109895	None	pid_110008
pid_60471	pid_60286;pid_60476	None	None	pid_60470
None	pid_152209	pid_9108	None	pid_0152211
None	pid_21619	pid_9108	None	pid_0152212
None	pid_79716	pid_79851	None	pid_079850
None	pid_166862	pid_166717	None	pid_166861
pid_153078;pid_153131	pid_153169	None	None	pid_153301
None	pid_16880	pid_28408	None	pid_028470
None	pid_18584	pid_100547	None	pid_169546
pid_38773;pid_38776	pid_38772	None	None	pid_153308
None	pid_61421	pid_166717	None	pid_166868
pid_34995;pid_35295	pid_35194	pid_34579	None	pid_35294
pid_49458	pid_27888;pid_3125	pid_114467	None	pid_115014
pid_47625	pid_53574	pid_53579	None	pid_53573
None	pid_114491	pid_114495	pid_113870	pid_114490
None	pid_79649	pid_163361	None	pid_163632
pid_47719;pid_60404	pid_60657	None	None	pid_60656
None	pid_113550	None	pid_163501	pid_163637
pid_22014;pid_9054;pid_9098	pid_78853	None	None	pid_78865
pid_135060	pid_134992	pid_917;pid_38604	None	pid_135059
pid_79757	pid_79760	pid_26656	None	pid_79756
pid_14107	pid_13893	pid_172667	None	pid_172663
pid_172678;pid_172879	pid_172591	None	None	pid_172913
None	pid_18584	pid_146214	None	pid_146232
pid_36128	pid_36131	pid_36136	None	pid_36127
None	pid_146239	pid_52424	None	pid_146238
pid_8623	pid_8626	pid_8633	None	pid_8622
pid_12552	pid_4986	pid_11907;pid_12411	None	pid_132226
pid_145023;pid_45194	pid_144939	None	None	pid_145022
pid_142032	pid_142037	pid_90940;pid_142043	None	pid_142031
None	pid_45341	pid_917;pid_72906	None	pid_73624
pid_9419	pid_9429	None	None	pid_9418
None	pid_10409	pid_73302	None	pid_0171826
pid_77646	pid_77755	pid_50542	None	pid_77754
None	pid_140768	pid_140277	None	pid_140767
None	pid_18584	pid_90014;pid_90018	None	pid_90012
pid_3110;pid_3119	pid_3121;pid_3125	pid_3133	None	pid_3109
pid_3343	pid_3121	None	pid_3349	pid_3342
pid_9876	pid_5292;pid_5695	pid_9435	None	pid_9875
pid_30750	pid_39501	pid_39506	None	pid_152303
pid_60149;pid_99549	pid_126892	None	None	pid_126891
pid_39064;pid_39166	pid_39168	None	None	pid_39165
None	pid_73404	pid_50575	None	pid_073406
pid_62952;pid_62959	pid_63281	pid_18614	None	pid_63280
pid_97632	pid_97639;pid_97641	pid_77562	None	pid_97631
pid_4851;pid_4877	pid_4899	None	None	pid_4850
None	pid_149270	pid_24370	None	pid_0149274
None	pid_149270	pid_149138	None	pid_0149272
None	pid_149270	pid_24490	None	pid_0149273
pid_106072	pid_106078	pid_106032	None	pid_106266
pid_105844;pid_106213	pid_106212	None	None	pid_106261
None	pid_18729	pid_149280	None	pid_0149279
None	pid_24683	pid_113847	None	pid_0113846
None	pid_10424	None	pid_84612	pid_084785
pid_160673;pid_40432	pid_160674	None	None	pid_160672
pid_167804;pid_29293	pid_167710	None	None	pid_167803
None	pid_27722	pid_158689	None	pid_0159301
pid_21797	pid_170320	pid_170196	None	pid_170408
pid_93823;pid_93837	pid_93840	pid_28349;pid_40417	pid_93854	pid_93822
None	pid_169406	pid_169344;pid_169411	None	pid_169405
None	pid_56364	pid_32925	None	pid_95618
pid_161349;pid_161671	pid_161673	None	None	pid_161670
pid_24885	pid_128300	pid_44669	None	pid_128299
pid_44720;pid_88158	pid_165855	pid_165963	None	pid_165958
pid_37996	pid_37748;pid_37751;pid_37993	pid_38085	None	pid_38079
pid_44720	pid_165691	None	None	pid_165955
None	pid_168313	pid_168304	None	pid_168312
pid_58249	pid_58251	pid_65702	None	pid_65972
pid_115794;pid_134494	pid_134544	None	None	pid_134543
pid_144863;pid_144865;pid_45194	pid_144866	pid_144876	None	pid_144862
pid_14105	pid_13890	pid_21139	None	pid_65978
pid_20927	pid_20935	pid_20950	None	pid_20926
pid_16754	pid_152243	pid_152131	None	pid_152242
pid_34407	pid_34409	pid_27897	None	pid_34406
pid_34401	pid_34202	pid_28103	None	pid_34400
pid_154997	pid_154998	pid_154943	None	pid_155091
None	pid_27722	pid_27808	None	pid_0104781
None	pid_27813	pid_40395	None	pid_040394
None	pid_104783	None	pid_104694	pid_0104785
pid_154998;pid_155100	pid_155106	None	None	pid_155099
pid_26656	pid_25011;pid_3125	pid_156692	None	pid_156687
pid_52546	pid_52364	pid_52551	None	pid_52545
None	pid_82906	pid_48161	None	pid_82905
pid_26656	pid_25011;pid_3125	pid_3221	None	pid_156681
pid_120388	pid_120397	pid_120435;pid_120411;pid_120404;pid_120431	None	pid_120387
None	pid_84579	pid_84583	pid_84587	pid_84578
pid_14107	pid_13893	pid_88409	None	pid_88427
pid_5591	pid_33577	pid_9379;pid_9317	None	pid_33576
pid_145010	pid_145014	pid_145019	None	pid_145009
None	pid_82035	None	pid_48307	pid_82034
None	pid_5536	pid_5303	None	pid_05538
pid_29102	pid_58729	pid_9793	None	pid_58728
pid_26645	pid_26697	pid_26704	None	pid_26696
None	pid_159884	pid_159953	None	pid_0160197
pid_85191	pid_64120	pid_85333	None	pid_85329
pid_107131;pid_60252	pid_107135	None	None	pid_107130
pid_60115;pid_99618	pid_99627	None	None	pid_99617
pid_57763;pid_58113	pid_58116	None	None	pid_107689
pid_122992;pid_154862;pid_155101	pid_155263;pid_155321	None	None	pid_155320
pid_106903;pid_107005	pid_107681	None	None	pid_107680
pid_20049;pid_20329	pid_20332	None	None	pid_20328
pid_147445;pid_34623;pid_34890	pid_147516	None	None	pid_147515
None	pid_84579	pid_84583	pid_84687	pid_84684
pid_22886;pid_22979	pid_22257;pid_22987;pid_22991	pid_23002;pid_22264	None	pid_22978
pid_14308	pid_14047	pid_40432	None	pid_161094
pid_18405	pid_18210	pid_18625	None	pid_18621
pid_159792	pid_159800	pid_50426	None	pid_159791
None	pid_16466	pid_16199	None	pid_16465
pid_20951;pid_20952;pid_58746	pid_58805	None	None	pid_58854
pid_104814;pid_8548	pid_8545	None	None	pid_104813
pid_62335	pid_61895	pid_24893	None	pid_62334
pid_14061	pid_42051	pid_9793	None	pid_42050
pid_112092;pid_9054	pid_112100	None	None	pid_112091
None	pid_38526	pid_162090	pid_162095	pid_162204
pid_45300	pid_45301	pid_5371	None	pid_45493
pid_121467	pid_121468	pid_121301	None	pid_121466
pid_7777;pid_79425	pid_79427	None	None	pid_79424
pid_22119	pid_171440	pid_171452;pid_171444	pid_171456	pid_171439
pid_7824;pid_98493	pid_98700	None	None	pid_98699
pid_174340	pid_59610	pid_174298	pid_173959	pid_174404
None	pid_122465	pid_49416	None	pid_171435
pid_7375;pid_7639	pid_7638	None	None	pid_7901
None	pid_7713	pid_7375	pid_7910	pid_7907
None	pid_61551	None	pid_133728	pid_0133819
pid_18744	pid_18614	pid_86139	None	pid_86135
pid_9316	pid_9317	pid_11799	None	pid_86131
pid_33090;pid_38634	pid_38919	None	None	pid_39034
pid_30706;pid_30875	pid_30702	None	None	pid_96197
pid_49498	pid_126566	pid_9317	None	pid_126565
None	pid_14019	pid_14133	None	pid_014132
None	pid_14019	pid_13913	None	pid_014137
pid_48872;pid_49067;pid_49237	pid_20211;pid_49077;pid_49291	None	None	pid_49290
None	pid_5603	pid_63065	None	pid_063363
pid_24695;pid_24697	pid_24700	None	None	pid_24694
pid_88626;pid_98970	pid_98348;pid_98554	None	None	pid_98969
pid_3114;pid_47482	pid_12013;pid_3119	pid_114556	None	pid_137161
pid_145996	pid_145407;pid_145412	pid_115049	None	pid_146009
pid_33546	pid_33901	pid_34000	None	pid_33996
None	pid_38526	pid_74504	pid_162137	pid_162285
pid_154943;pid_155209;pid_155215	pid_154862;pid_155222	None	None	pid_155208
pid_59577;pid_59675	pid_59677	None	None	pid_59674
None	pid_27860	pid_159758	None	pid_0159894
None	pid_159889	pid_159800	None	pid_0159891
pid_27801	pid_27804	pid_27808	None	pid_27800
None	pid_55836	pid_55621	None	pid_55835
pid_75194	pid_75178	pid_59180	None	pid_75193
pid_132413;pid_132415	pid_132417	None	None	pid_132412
pid_103177	pid_103184;pid_38673;pid_83263	pid_86642;pid_103203	None	pid_103456
pid_20211;pid_48888;pid_48907	pid_49033	None	None	pid_49032
pid_27974;pid_3114	pid_28446;pid_3119	pid_119263	None	pid_119257
None	pid_13887	pid_13890	None	pid_013889
pid_24258	pid_24174	pid_24347	None	pid_24343
None	pid_14121	pid_28446	None	pid_028668
pid_24487	pid_24490	pid_149369	None	pid_149580
pid_149589	pid_24490	None	None	pid_149588
pid_47773	pid_114025	None	None	pid_114024
None	pid_55616	pid_55782;pid_61398;pid_61368;pid_11751	None	pid_61462
pid_110815;pid_111014	pid_111017	None	None	pid_111013
pid_114531;pid_9145	pid_114533	None	None	pid_114530
pid_127166;pid_60149	pid_127167	None	None	pid_127165
None	pid_55810	pid_122248	pid_122076	pid_122404
pid_40972	pid_40975	pid_40987	None	pid_40971
pid_14107	pid_70639	pid_70644	None	pid_70638
None	pid_89466	pid_89059	None	pid_89465
pid_70044;pid_70084	pid_70085	None	None	pid_70083
pid_30875;pid_30878	pid_30702	None	None	pid_30874
pid_92163;pid_92308	pid_92441	None	None	pid_92471
pid_105820;pid_105821;pid_105824	pid_105827	pid_105838	None	pid_105819
pid_33796	pid_33783	pid_26800	None	pid_86287
pid_77724	pid_77705	pid_77615	pid_58432	pid_77723
pid_106903;pid_106906	pid_106909	None	None	pid_167495
pid_47590	pid_160447	pid_26656	None	pid_160446
pid_125831	pid_125840	pid_125700	None	pid_125830
None	pid_131034	pid_130816;pid_87980	None	pid_131033
pid_25011;pid_3114	pid_26656;pid_3119	pid_156522	None	pid_156516
pid_16336	pid_143514	pid_35676	None	pid_143513
pid_90839	pid_90842	pid_86642	None	pid_90838
pid_109425;pid_3114	pid_109428;pid_3119	pid_109436	None	pid_109424
None	pid_130924	pid_87980	pid_130929	pid_130923
pid_9133	pid_110282	pid_110415	None	pid_110606
pid_12013	pid_12009	pid_35337	None	pid_35333
pid_20314	pid_20463	None	None	pid_20462
None	pid_84295	pid_92356	None	pid_092355
pid_93123	pid_93124	pid_92880;pid_8546	None	pid_93122
None	pid_99184	pid_98393	None	pid_99183
pid_14444;pid_167150	pid_167156	None	None	pid_167149
pid_88626;pid_99190	pid_98324;pid_99197	None	None	pid_99189
pid_175052;pid_52354	pid_175055	None	None	pid_175051
pid_9543;pid_9544	pid_9545;pid_9550	pid_9562;pid_9559	None	pid_50923
pid_14437;pid_14660;pid_15001	pid_14657	None	None	pid_15000
None	pid_89077	pid_89059	None	pid_89076
pid_110637	pid_3251	pid_110542	None	pid_110636
pid_70115;pid_70171	pid_70201	pid_28349	None	pid_109764
None	pid_62978	pid_62981	None	pid_062980
None	pid_85042	pid_163397	None	pid_163793
pid_107864;pid_40410	pid_107904	None	None	pid_107903
pid_5647	pid_62142	pid_71945	None	pid_71941
None	pid_168678	pid_168304	None	pid_168677
pid_77357;pid_88644	pid_88807	None	None	pid_88830
pid_26992	pid_71945	pid_71887	None	pid_71948
None	pid_72942	pid_25217;pid_72906	None	pid_72941
None	pid_41165	None	pid_40919	pid_041167
None	pid_6967	pid_41002	None	pid_041168
pid_27960;pid_27964	pid_27969;pid_27974	None	None	pid_27959
pid_150692;pid_154997	pid_155160	None	None	pid_155159
pid_59172	pid_164365	pid_128300	None	pid_164364
pid_22076;pid_53720;pid_53723	pid_29023;pid_45816;pid_53726	pid_53736	None	pid_70895
pid_161420;pid_161796	pid_161393	None	None	pid_161795
pid_24768	pid_70827	pid_9586	None	pid_70890
pid_22007;pid_90350	pid_90176	None	None	pid_90349
pid_15968	pid_16018	pid_16681	None	pid_16677
None	pid_105767	pid_105770	None	pid_0105769
pid_118350	pid_118353	pid_118538	None	pid_118534
pid_78634	pid_78637	pid_78644	None	pid_78633
None	pid_18584	None	pid_97808	pid_97806
None	pid_14037	pid_154152	None	pid_0172562
None	pid_105752	pid_13913	None	pid_0105764
None	pid_137041	None	pid_146460	pid_163869
pid_44785	pid_44750	pid_12013;pid_12292	None	pid_172498
pid_20591;pid_49126	pid_20640	None	None	pid_49125
pid_58315;pid_58432;pid_65702	pid_58170;pid_65766;pid_65772;pid_65780;pid_65791	None	pid_65802	pid_65765
pid_39547	pid_83503	pid_83507	None	pid_172491
None	pid_162037	pid_9713	None	pid_0162215
pid_12317	pid_11717	pid_13913;pid_36382	None	pid_36823
None	pid_169236	pid_130962;pid_100547;pid_82145	None	pid_169235
pid_14166;pid_64117;pid_64120	pid_64116	None	None	pid_64142
pid_14308	pid_14047	pid_145345	None	pid_145858
None	pid_73706	pid_100547	None	pid_169231
pid_14856;pid_64117;pid_64120	pid_64148	None	None	pid_64147
None	pid_163453	pid_163361	None	pid_164142
pid_100448;pid_148575	pid_148577	None	None	pid_148574
pid_3114;pid_3121	pid_3110;pid_3119	pid_3140	None	pid_3371
None	pid_16590	pid_15955	None	pid_16589
None	pid_95403	pid_94889	None	pid_95402
pid_3114;pid_3121	pid_3110;pid_3119	pid_3385	None	pid_3379
None	pid_16585	pid_15955	None	pid_16584
pid_75067;pid_90169	pid_90148;pid_90170	pid_90176	None	pid_90168
None	pid_137041	pid_52347	None	pid_146588
None	pid_12889	pid_140311	None	pid_140517
pid_129872;pid_130071	pid_130072	None	None	pid_130070
pid_171440	pid_49416	None	None	pid_171608
pid_33746	pid_33505;pid_33712	pid_24939	None	pid_33745
None	pid_84579	pid_165896;pid_165598	None	pid_165893
pid_72906	pid_134950	pid_73163;pid_13893	pid_134962	pid_134978
pid_69011;pid_7475	pid_69043	None	None	pid_69042
pid_144987;pid_45194	pid_144995	None	None	pid_144986
pid_7513	pid_80050	pid_9525	None	pid_80049
None	pid_83246	pid_48161	None	pid_83245
pid_84188	pid_84196;pid_84211;pid_84213	pid_84221	None	pid_84210
pid_37885	pid_37896;pid_37899	pid_37916;pid_37907	None	pid_37884
None	pid_84579	pid_84583;pid_84751	None	pid_84748
pid_29293;pid_57763	pid_58070	None	None	pid_107412
pid_145582;pid_99549	pid_145270	None	None	pid_145581
pid_148464;pid_94974	pid_148464;pid_148561;pid_73600	pid_95197	pid_148528	pid_148752
None	pid_73547	pid_917;pid_72906	None	pid_73546
pid_159633	pid_159634	pid_159638	None	pid_159632
None	pid_65983	pid_28943	None	pid_065985
None	pid_52733	None	pid_134117	pid_0172177
pid_62275	pid_158479	pid_4936	None	pid_159328
None	pid_172170	pid_3464	None	pid_0172172
pid_165095;pid_165097	pid_165098	None	None	pid_165094
pid_34889	pid_71766	pid_71252	None	pid_71765
None	pid_15760	None	pid_18583	pid_018582
pid_24840;pid_59180;pid_74931	pid_75224	None	None	pid_75223
None	pid_41169	pid_40975	None	pid_041170
pid_26307;pid_26992	pid_26270;pid_26994	None	pid_27007	pid_26991
pid_12282	pid_42206	pid_25217;pid_20101	None	pid_42205
pid_14061	pid_42051	pid_42118	None	pid_42200
pid_261	pid_265;pid_280;pid_281	None	None	pid_260
pid_85191	pid_116710;pid_116712	pid_25217;pid_116722;pid_116719	None	pid_116709
pid_28446	pid_27974;pid_3125	pid_119073	None	pid_119068
None	pid_33033	pid_32925	None	pid_033042
None	pid_28001	pid_164486	None	pid_0164485
pid_18498;pid_21285;pid_74623;pid_74708	pid_74504;pid_74570	None	None	pid_74707
None	pid_38522	None	pid_38691	pid_38689
pid_67003	pid_66878	pid_66984	None	pid_67193
pid_24595	pid_24598	pid_24237	None	pid_24594
pid_9316	pid_9317	pid_104751	None	pid_165231
None	pid_4656	pid_66878	None	pid_067051
pid_165066	pid_165197	pid_165090	None	pid_165235
pid_66942	pid_66903	pid_67009	None	pid_67198
pid_88685	pid_3464	pid_88689	None	pid_134208
None	pid_167263	None	pid_27974	pid_0167265
pid_112241;pid_9054;pid_9098	pid_112465	None	None	pid_112464
None	pid_30733	pid_167087	None	pid_0167261
pid_40241	pid_133528	pid_61425;pid_121434	None	pid_133527
pid_27931	pid_27960	pid_34218	None	pid_34214
pid_25011;pid_3114	pid_26656;pid_3119	pid_114375	None	pid_114853
pid_126509;pid_126577;pid_126580	pid_126576	None	None	pid_126715
None	pid_118454	None	pid_118353	pid_0118525
pid_132026	pid_132190	pid_132196	None	pid_132189
None	pid_36185	pid_118405	None	pid_0118522
None	pid_82117	None	pid_48142	pid_82116
None	pid_90811	pid_90814	None	pid_090813
pid_58138;pid_58204	pid_58383	None	None	pid_58449
pid_38540;pid_38553	pid_38569	None	None	pid_38539
pid_113918	pid_159321	pid_4936	None	pid_159320
pid_9871	pid_9793	pid_58220	None	pid_58441
pid_104483	pid_104486	pid_26924	None	pid_104482
pid_57763;pid_58113	pid_58116	None	None	pid_58112
pid_12411	pid_36268	pid_170272	None	pid_170268
pid_60115;pid_99405	pid_99408	None	None	pid_99404
pid_14303	pid_14271	pid_20049	None	pid_20128
None	pid_61511	None	pid_61368	pid_061513
pid_170196;pid_28362	pid_170243	None	None	pid_170262
pid_14047	pid_27789	pid_40043	None	pid_40462
pid_9871	pid_39409	pid_39616;pid_20896;pid_39716	None	pid_39711
pid_6610	pid_102540	pid_102555	None	pid_102626
pid_123070;pid_131804;pid_46511	pid_131809;pid_18709	None	None	pid_131803
None	pid_105767	pid_105729	None	pid_0106101
pid_39420	pid_39485	None	None	pid_39484
pid_16561;pid_40815;pid_7639	pid_40837	None	None	pid_41037
pid_21284	pid_21285	pid_13893	None	pid_39488
None	pid_24683	pid_126566	None	pid_0173426
None	pid_10424	pid_4936	None	pid_0108933
None	pid_82372	None	pid_48142	pid_82371
None	pid_82377	None	pid_48142	pid_82376
pid_21541;pid_28574	pid_28455	None	None	pid_28704
None	pid_50999	pid_50871	None	pid_051001
pid_153078;pid_82123	pid_152999	None	None	pid_153265
pid_76930;pid_76945	pid_76946	None	None	pid_76944
pid_20697	pid_20698	pid_20081	pid_20576	pid_20696
pid_5713	pid_4952	pid_5648	None	pid_5712
pid_20081	pid_20691	None	None	pid_20690
None	pid_38522	None	pid_38626	pid_38624
pid_53629	pid_53736	pid_53777;pid_50980;pid_8545	None	pid_53771
pid_118350	pid_118353	pid_118447	None	pid_118529
pid_21541	pid_114710	pid_113776	None	pid_114709
pid_4986	pid_8633	pid_14189	None	pid_14185
None	pid_49627	pid_28446	None	pid_052433
pid_45207	pid_45266	None	None	pid_45265
None	pid_7379	pid_166725	None	pid_166849
pid_80683;pid_81125	pid_81126	None	None	pid_81124
